1.55;0.05;5.49
1.37;0.2;5.42
1.2;0.35;5.37
1.02;0.5;5.3
0.82;0.63;5.21
0.66;0.72;5.16
0.54;0.76;5.1
0.41;0.85;5.01
0.28;0.85;4.9
0.24;0.9;4.76
0.17;0.85;4.6
0.15;0.85;4.53
0.11;0.84;4.37
0.07;0.79;4.23
0.01;0.74;4.15
-0.03;0.73;4.02
-0.08;0.69;3.94
-0.07;0.67;3.86
-0.06;0.67;3.79
-0.07;0.66;3.72
-0.03;0.63;3.61
0.02;0.58;3.5
0.08;0.47;3.44
0.12;0.43;3.38
0.18;0.33;3.28
0.22;0.21;3.17
0.2;0.12;3.05
0.24;0.06;2.92
0.21;0.04;2.84
0.15;0.05;2.74
0.11;0.05;2.6
0.04;0.06;2.51
-0.05;0.08;2.38
-0.11;0.11;2.23
-0.21;0.12;2.11
-0.32;0.17;3.89
-0.46;0.12;1.82
-0.54;0.15;1.69
-0.69;0.15;1.5
-0.86;0.14;1.38
-1.02;0.15;1.23
-1.18;0.18;1.16
-1.27;0.15;1.02
-1.41;0.14;0.9
-1.5;0.1;0.76
-1.56;0.06;0.65
-1.56;0.04;0.56
-1.54;0;0.37
-1.46;-0.02;0.22
-1.35;-0.05;0.11
-1.21;-0.08;-0.04
-1.05;-0.12;-0.19
-0.89;-0.15;-0.38
-0.63;-0.19;-0.56
-0.39;-0.18;-0.68
-0.19;-0.16;-0.87
0.1;-0.11;-1.09
0.4;-0.08;-1.29
0.73;-0.05;-1.52
1.05;-0.02;-1.67
1.21;-0.08;-1.89
1.56;-0.15;-2.14
1.84;-0.27;-2.4
2.07;-0.35;-2.66
2.27;-0.42;-2.83
2.36;-0.5;-3.11
2.46;-0.53;-3.44
2.54;-0.6;-3.74
2.6;-0.68;-4.04
2.66;-0.73;-4.37
2.66;-0.75;-4.67
2.7;-0.81;-4.98
2.69;-0.89;-5.18
2.71;-0.98;-5.46
2.71;-1.08;-5.74
2.69;-1.15;-5.98
2.64;-1.18;-6.18
2.6;-1.25;-6.43
2.57;-1.28;-6.6
2.47;-1.27;-6.79
2.31;-1.27;-7.03
2.15;-1.27;-7.24
1.86;-1.2;-7.41
1.74;-1.1;-7.54
1.5;-1.02;-7.68
1.23;-0.83;-7.85
1.02;-0.69;-7.95
0.73;-0.5;-8.07
0.44;-0.39;-8.19
0.18;-0.18;-8.25
0;-0.37;-8.34
-0.31;-0.39;-8.41
-0.61;-0.24;-8.46
-0.7;-0.05;-8.51
-0.85;-1.89;-8.51
-1.01;0.15;-8.53
-0.8;0.18;-8.57
-0.78;0.19;-8.59
-0.86;0.11;-8.57
-0.76;0.11;-8.53
-0.6;0.21;-8.43
-0.34;0.22;-8.37
-0.05;0.08;-8.29
0.24;0.07;-8.18
0.78;-0.05;-8.08
1.18;-0.27;-8.05
1.6;-0.32;-8.07
1.95;-0.37;-8.09
2.58;-0.46;-8.14
3.07;-0.52;-8.22
3.6;-0.52;-8.32
4.1;-0.5;-8.47
4.53;-0.55;-8.63
4.94;-0.59;-8.8
5.4;-0.58;-8.95
5.76;-0.56;-9.1
5.98;-0.59;-9.3
6.22;-0.5;-9.46
6.45;-0.44;-9.59
6.63;-0.32;-9.73
6.78;-0.24;-9.85
6.88;-0.14;-9.98
6.95;-1.95;-10.06
6.95;0.09;-10.18
6.95;0.21;-10.28
6.92;0.4;-10.4
6.91;0.55;-10.56
6.85;0.73;-10.67
6.83;0.89;-10.79
6.74;1.02;-10.89
6.73;1.1;-11.02
6.66;1.22;-11.13
6.59;1.32;-11.31
6.48;1.32;-11.4
6.4;1.33;-11.49
6.37;1.3;-11.57
6.31;1.27;-11.65
6.3;1.16;-13.68
6.29;1.02;-11.89
6.23;0.92;-11.91
6.21;0.66;-11.98
6.05;0.6;-11.88
5.98;0.56;-12.02
6.08;0.42;-11.98
6.02;0.24;-11.96
5.85;0.11;-12.02
5.83;0.04;-11.82
5.73;0.02;-11.89
5.52;-0.22;-11.84
5.44;-0.29;-11.69
5.34;-0.4;-11.61
5.21;-0.47;-11.53
5.07;-0.6;-11.5
4.88;-0.66;-11.4
4.65;-0.73;-11.32
4.51;-0.78;-11.27
4.34;-0.93;-11.24
3.98;-1.03;-11.26
3.76;-1.06;-11.27
3.53;-1.04;-11.42
3.17;-1.02;-11.57
2.83;-1.08;-11.67
2.6;-1.15;-11.76
2.18;-1.23;-11.89
3.83;-1.34;-11.88
1.63;-1.41;-12.03
1.2;-1.53;-11.83
0.83;-1.59;-11.85
0.59;-1.66;-11.65
0.27;-1.62;-11.52
1.89;-1.73;-11.37
-0.18;-1.77;-11.25
-0.37;-1.78;-11.08
-0.55;-1.86;-10.92
-0.64;-1.89;-10.79
-0.73;-2.01;-10.59
-0.84;-2.08;-10.38
-0.85;-2.14;-10.31
-0.87;-2.22;-10.15
-0.9;-2.25;-10.06
-0.92;-2.3;-10.05
-0.97;-2.32;-10.01
-1.01;-2.37;-10.02
-1.02;-2.35;-9.99
-1.06;-2.4;-10.02
-1.08;-2.44;-10.02
-1.09;-2.5;-10.03
-1.1;-2.56;-10.02
-1.12;-2.59;-9.99
-1.11;-2.63;-9.94
-1.11;-2.64;-9.89
-1.09;-2.66;-9.82
-1.08;-2.67;-11.72
-1.06;-2.67;-9.69
-1.03;-2.69;-9.56
-1.04;-2.67;-9.46
-1.02;-2.67;-9.33
-1.08;-2.61;-9.24
-1.11;-2.62;-9.14
-1.18;-2.57;-8.93
-1.25;-2.56;-8.75
-1.37;-2.6;-8.58
-1.43;-2.56;-8.44
-1.58;-2.56;-8.23
-1.73;-2.56;-7.99
-1.92;-2.53;-9.73
-2.06;-2.53;-7.65
-2.21;-2.5;-7.47
-2.41;-2.5;-7.24
-2.6;-2.5;-7.08
-2.84;-2.53;-6.9
-3.05;-2.55;-6.77
-3.24;-2.58;-6.61
-3.47;-2.58;-6.56
-3.62;-2.63;-6.42
